path,scope,before,after,delta,physical,status
crates/layerfs-content/src/lib.rs,reference,17,17,0,22,unchanged
crates/layerfs-content/src/limits.rs,reference,8,8,0,8,unchanged
crates/layerfs-content/src/object/access.rs,reference,139,139,0,167,unchanged
crates/layerfs-content/src/object/canonical.rs,reference,81,81,0,97,unchanged
crates/layerfs-content/src/object/codec.rs,reference,428,428,0,779,unchanged
crates/layerfs-content/src/object/digest.rs,reference,87,87,0,162,unchanged
crates/layerfs-content/src/object/id.rs,reference,66,66,0,106,unchanged
crates/layerfs-content/src/object/mod.rs,reference,17,17,0,19,unchanged
crates/layerfs-content/src/object/references.rs,reference,93,93,0,173,unchanged
crates/layerfs-content/src/tree/batch.rs,reference,1387,1387,0,2863,unchanged
crates/layerfs-content/src/tree/compact.rs,reference,477,477,0,612,unchanged
crates/layerfs-content/src/tree/directory/codec.rs,reference,495,495,0,519,unchanged
crates/layerfs-content/src/tree/directory/diff.rs,reference,345,345,0,358,unchanged
crates/layerfs-content/src/tree/directory/edit.rs,reference,759,759,0,791,unchanged
crates/layerfs-content/src/tree/directory/mod.rs,reference,19,19,0,22,unchanged
crates/layerfs-content/src/tree/directory/node.rs,reference,47,47,0,55,unchanged
crates/layerfs-content/src/tree/directory/read.rs,reference,771,771,0,891,unchanged
crates/layerfs-content/src/tree/directory/validate.rs,reference,211,211,0,343,unchanged
crates/layerfs-content/src/tree/inode/codec.rs,reference,121,121,0,126,unchanged
crates/layerfs-content/src/tree/inode/cursor.rs,reference,310,310,0,325,unchanged
crates/layerfs-content/src/tree/inode/mod.rs,reference,6,6,0,7,unchanged
crates/layerfs-content/src/tree/inode/record.rs,reference,87,87,0,102,unchanged
crates/layerfs-content/src/tree/inode/table.rs,reference,1886,1886,0,2015,unchanged
crates/layerfs-content/src/tree/metadata/apple_acl.rs,reference,83,83,0,88,unchanged
crates/layerfs-content/src/tree/metadata/codec.rs,reference,158,158,0,162,unchanged
crates/layerfs-content/src/tree/metadata/mod.rs,reference,8,8,0,9,unchanged
crates/layerfs-content/src/tree/metadata/portable.rs,reference,77,77,0,85,unchanged
crates/layerfs-content/src/tree/metadata/tree.rs,reference,788,788,0,822,unchanged
crates/layerfs-content/src/tree/mod.rs,reference,9,9,0,10,unchanged
crates/layerfs-content/src/tree/path.rs,reference,189,189,0,314,unchanged
crates/layerfs-content/src/tree/root.rs,reference,9,9,0,11,unchanged
crates/layerfs-daemon/src/lib.rs,reference,597,597,0,799,unchanged
crates/layerfs-daemon/src/main.rs,reference,1809,1809,0,2253,unchanged
crates/layerfs-daemon/src/protocol.rs,reference,827,827,0,1127,unchanged
crates/layerfs-fuse/src/adapter.rs,reference,148,148,0,162,unchanged
crates/layerfs-fuse/src/bin/layerfs-fuse.rs,reference,161,161,0,174,unchanged
crates/layerfs-fuse/src/filesystem.rs,reference,1366,1366,0,1438,unchanged
crates/layerfs-fuse/src/handles.rs,reference,37,37,0,43,unchanged
crates/layerfs-fuse/src/host_mount.rs,reference,103,103,0,112,unchanged
crates/layerfs-fuse/src/immutable_read_cache.rs,reference,194,194,0,322,unchanged
crates/layerfs-fuse/src/inode_table.rs,reference,15,15,0,18,unchanged
crates/layerfs-fuse/src/lib.rs,reference,47,47,0,58,unchanged
crates/layerfs-fuse/src/live_owner.rs,reference,2708,2708,0,4279,unchanged
crates/layerfs-fuse/src/live_runtime.rs,reference,264,264,0,529,unchanged
crates/layerfs-fuse/src/live_transport.rs,reference,672,672,0,870,unchanged
crates/layerfs-fuse/src/live_wire.rs,reference,643,643,0,896,unchanged
crates/layerfs-fuse/src/local_spool.rs,reference,268,268,0,509,unchanged
crates/layerfs-fuse/src/port.rs,reference,455,455,0,482,unchanged
crates/layerfs-fuse/src/protocol.rs,reference,986,986,0,1357,unchanged
crates/layerfs-fuse/src/proxy_client.rs,reference,1457,1457,0,2118,unchanged
crates/layerfs-fuse/src/proxy_host.rs,reference,403,403,0,433,unchanged
crates/layerfs-fuse/src/write_metrics.rs,reference,757,757,0,869,unchanged
crates/layerfs-layerstack-store/sql/branch/contains_commit.sql,reference,10,10,0,14,unchanged
crates/layerfs-layerstack-store/sql/branch/get.sql,reference,3,3,0,7,unchanged
crates/layerfs-layerstack-store/sql/branch/get_by_name.sql,reference,3,3,0,7,unchanged
crates/layerfs-layerstack-store/sql/branch/get_commit.sql,reference,3,3,0,7,unchanged
crates/layerfs-layerstack-store/sql/branch/history_page.sql,reference,11,11,0,15,unchanged
crates/layerfs-layerstack-store/sql/branch/insert.sql,reference,2,2,0,6,unchanged
crates/layerfs-layerstack-store/sql/branch/list.sql,reference,9,9,0,13,unchanged
crates/layerfs-layerstack-store/sql/branch/list_commits.sql,reference,5,5,0,9,unchanged
crates/layerfs-layerstack-store/sql/layerstack/advance_head.sql,reference,3,3,0,7,unchanged
crates/layerfs-layerstack-store/sql/layerstack/current_head.sql,reference,1,1,0,5,unchanged
crates/layerfs-layerstack-store/sql/layerstack/find_layer_by_source.sql,reference,3,3,0,7,unchanged
crates/layerfs-layerstack-store/sql/layerstack/get.sql,reference,3,3,0,7,unchanged
crates/layerfs-layerstack-store/sql/layerstack/get_by_name.sql,reference,3,3,0,7,unchanged
crates/layerfs-layerstack-store/sql/layerstack/get_layer.sql,reference,3,3,0,7,unchanged
crates/layerfs-layerstack-store/sql/layerstack/history_page.sql,reference,11,11,0,15,unchanged
crates/layerfs-layerstack-store/sql/layerstack/insert.sql,reference,2,2,0,6,unchanged
crates/layerfs-layerstack-store/sql/layerstack/insert_layer.sql,reference,2,2,0,6,unchanged
crates/layerfs-layerstack-store/sql/layerstack/list.sql,reference,5,5,0,9,unchanged
crates/layerfs-layerstack-store/sql/layerstack/list_layers.sql,reference,9,9,0,13,unchanged
crates/layerfs-layerstack-store/sql/layerstack/load_add_snapshot.sql,reference,9,9,0,13,unchanged
crates/layerfs-layerstack-store/sql/objects/get.sql,reference,1,1,0,5,unchanged
crates/layerfs-layerstack-store/sql/objects/get_many_128.sql,reference,13,13,0,17,unchanged
crates/layerfs-layerstack-store/sql/objects/insert.sql,reference,2,2,0,6,unchanged
crates/layerfs-layerstack-store/sql/objects/membership_128.sql,reference,13,13,0,17,unchanged
crates/layerfs-layerstack-store/sql/objects/page.sql,reference,5,5,0,9,unchanged
crates/layerfs-layerstack-store/sql/query/branch_roots_page.sql,reference,7,7,0,11,unchanged
crates/layerfs-layerstack-store/sql/query/canonical_storage.sql,reference,1,1,0,5,unchanged
crates/layerfs-layerstack-store/sql/query/commit_roots_page.sql,reference,5,5,0,9,unchanged
crates/layerfs-layerstack-store/sql/query/layer_roots_page.sql,reference,5,5,0,9,unchanged
crates/layerfs-layerstack-store/sql/query/store_counts.sql,reference,6,6,0,10,unchanged
crates/layerfs-layerstack-store/sql/schema/foreign_key_check.sql,reference,2,2,0,6,unchanged
crates/layerfs-layerstack-store/sql/schema/migrate_to_v9.sql,reference,1,1,0,1,unchanged
crates/layerfs-layerstack-store/sql/schema/migrate_v4_to_v5.sql,reference,8,8,0,9,unchanged
crates/layerfs-layerstack-store/sql/schema/migrate_v7_to_v8.sql,reference,1,1,0,1,unchanged
crates/layerfs-layerstack-store/sql/schema/reserve_inode_serials.sql,reference,4,4,0,7,unchanged
crates/layerfs-layerstack-store/sql/schema/schema_objects.sql,reference,4,4,0,8,unchanged
crates/layerfs-layerstack-store/sql/schema/table_columns.sql,reference,3,3,0,7,unchanged
crates/layerfs-layerstack-store/sql/schema/v10.sql,reference,151,151,0,167,unchanged
crates/layerfs-layerstack-store/sql/schema/v4.sql,reference,124,124,0,136,unchanged
crates/layerfs-layerstack-store/sql/schema/v5.sql,reference,131,131,0,144,unchanged
crates/layerfs-layerstack-store/sql/schema/v6.sql,reference,138,138,0,152,unchanged
crates/layerfs-layerstack-store/sql/schema/v7.sql,reference,138,138,0,152,unchanged
crates/layerfs-layerstack-store/sql/schema/v8.sql,reference,138,138,0,152,unchanged
crates/layerfs-layerstack-store/sql/schema/v9.sql,reference,138,138,0,152,unchanged
crates/layerfs-layerstack-store/sql/workspace/advance_branch.sql,reference,5,5,0,9,unchanged
crates/layerfs-layerstack-store/sql/workspace/current_branch.sql,reference,3,3,0,7,unchanged
crates/layerfs-layerstack-store/sql/workspace/delete_stage.sql,reference,4,4,0,8,unchanged
crates/layerfs-layerstack-store/sql/workspace/get_stage.sql,reference,3,3,0,7,unchanged
crates/layerfs-layerstack-store/sql/workspace/insert_commit.sql,reference,3,3,0,7,unchanged
crates/layerfs-layerstack-store/sql/workspace/insert_stage.sql,reference,3,3,0,7,unchanged
crates/layerfs-layerstack-store/sql/workspace/load_snapshot.sql,reference,8,8,0,12,unchanged
crates/layerfs-layerstack-store/src/branch.rs,reference,97,97,0,100,unchanged
crates/layerfs-layerstack-store/src/error.rs,reference,84,84,0,93,unchanged
crates/layerfs-layerstack-store/src/ids.rs,reference,182,182,0,225,unchanged
crates/layerfs-layerstack-store/src/layerstack.rs,reference,2059,2059,0,4284,unchanged
crates/layerfs-layerstack-store/src/layerstack/ingestion_tests.rs,reference,106,106,0,109,unchanged
crates/layerfs-layerstack-store/src/lib.rs,reference,54,54,0,65,unchanged
crates/layerfs-layerstack-store/src/objects.rs,reference,3771,3771,0,7099,unchanged
crates/layerfs-layerstack-store/src/objects/admission.rs,reference,1742,1742,0,1940,unchanged
crates/layerfs-layerstack-store/src/objects/admission/issue100_diagnostic.rs,reference,200,200,0,203,unchanged
crates/layerfs-layerstack-store/src/objects/admission/metadata_tests.rs,reference,506,506,0,533,unchanged
crates/layerfs-layerstack-store/src/objects/admission/metadata_values.rs,reference,131,131,0,143,unchanged
crates/layerfs-layerstack-store/src/objects/admission/native_tests.rs,reference,750,750,0,848,unchanged
crates/layerfs-layerstack-store/src/objects/admission/small_candidate_tests.rs,reference,294,294,0,318,unchanged
crates/layerfs-layerstack-store/src/objects/admission/small_chain_tests.rs,reference,205,205,0,214,unchanged
crates/layerfs-layerstack-store/src/objects/comparison_reuse_tests.rs,reference,267,267,0,289,unchanged
crates/layerfs-layerstack-store/src/objects/delta.rs,reference,110,110,0,116,unchanged
crates/layerfs-layerstack-store/src/objects/diagnostic.rs,reference,311,311,0,662,unchanged
crates/layerfs-layerstack-store/src/objects/ingestion_tests.rs,reference,46,46,0,49,unchanged
crates/layerfs-layerstack-store/src/objects/metadata.rs,reference,374,374,0,548,unchanged
crates/layerfs-layerstack-store/src/objects/metadata_endpoint_tests.rs,reference,136,136,0,147,unchanged
crates/layerfs-layerstack-store/src/objects/metadata_fingerprint_tests.rs,reference,508,508,0,541,unchanged
crates/layerfs-layerstack-store/src/objects/pack.rs,reference,1399,1399,0,1953,unchanged
crates/layerfs-layerstack-store/src/objects/read.rs,reference,1958,1958,0,2078,unchanged
crates/layerfs-layerstack-store/src/objects/read/native_tests.rs,reference,466,466,0,480,unchanged
crates/layerfs-layerstack-store/src/objects/small_candidates.rs,reference,112,112,0,125,unchanged
crates/layerfs-layerstack-store/src/objects/spill.rs,reference,783,783,0,935,unchanged
crates/layerfs-layerstack-store/src/objects/whole.rs,reference,338,338,0,424,unchanged
crates/layerfs-layerstack-store/src/objects/whole_tests.rs,reference,253,253,0,258,unchanged
crates/layerfs-layerstack-store/src/query.rs,reference,477,477,0,506,unchanged
crates/layerfs-layerstack-store/src/records.rs,reference,383,383,0,422,unchanged
crates/layerfs-layerstack-store/src/schema.rs,reference,575,575,0,1021,unchanged
crates/layerfs-layerstack-store/src/schema/compatibility.rs,reference,278,278,0,293,unchanged
crates/layerfs-layerstack-store/src/staging.rs,reference,79,79,0,84,unchanged
crates/layerfs-layerstack-store/src/statements.rs,reference,126,126,0,384,unchanged
crates/layerfs-layerstack-store/src/store.rs,reference,55,55,0,67,unchanged
crates/layerfs-layerstack-store/src/telemetry.rs,reference,906,906,0,1049,unchanged
crates/layerfs-layerstack-store/src/workspace.rs,reference,926,926,0,1206,unchanged
crates/layerfs-materialization/src/capture.rs,reference,84,84,0,87,unchanged
crates/layerfs-materialization/src/lib.rs,reference,9,9,0,11,unchanged
crates/layerfs-materialization/src/materialize.rs,reference,186,186,0,197,unchanged
crates/layerfs-materialization/src/port.rs,reference,79,79,0,91,unchanged
crates/layerfs-monitor/src/collector.rs,reference,75,75,0,81,unchanged
crates/layerfs-monitor/src/dedup.rs,reference,116,116,0,120,unchanged
crates/layerfs-monitor/src/lib.rs,reference,13,13,0,15,unchanged
crates/layerfs-monitor/src/operation.rs,reference,164,164,0,179,unchanged
crates/layerfs-monitor/src/snapshot.rs,reference,46,46,0,55,unchanged
crates/layerfs-sdk/src/client.rs,reference,530,530,0,617,unchanged
crates/layerfs-sdk/src/lib.rs,reference,37,37,0,40,unchanged
crates/layerfs-sdk/src/query.rs,reference,75,75,0,89,unchanged
crates/layerfs-sdk/src/request.rs,reference,268,268,0,287,unchanged
crates/layerfs-sdk/src/result.rs,reference,34,34,0,41,unchanged
crates/layerfs-workspace-core/src/backing.rs,reference,41,41,0,113,unchanged
crates/layerfs-workspace-core/src/checkpoint.rs,reference,97,97,0,102,unchanged
crates/layerfs-workspace-core/src/file_edit.rs,reference,1210,1210,0,1810,unchanged
crates/layerfs-workspace-core/src/frozen.rs,reference,173,173,0,462,unchanged
crates/layerfs-workspace-core/src/lib.rs,reference,271,271,0,538,unchanged
crates/layerfs-workspace-core/src/limits.rs,reference,30,30,0,52,unchanged
crates/layerfs-workspace-core/src/namespace.rs,reference,630,630,0,809,unchanged
crates/layerfs-workspace/src/capture.rs,reference,202,202,0,214,unchanged
crates/layerfs-workspace/src/changes.rs,reference,2968,2968,0,5890,unchanged
crates/layerfs-workspace/src/container.rs,reference,354,354,0,410,unchanged
crates/layerfs-workspace/src/cow_tree.rs,reference,558,558,0,1027,unchanged
crates/layerfs-workspace/src/daemon.rs,reference,236,236,0,294,unchanged
crates/layerfs-workspace/src/docker.rs,reference,594,594,0,624,unchanged
crates/layerfs-workspace/src/docker_engine.rs,reference,280,280,0,300,unchanged
crates/layerfs-workspace/src/execution.rs,reference,794,794,0,877,unchanged
crates/layerfs-workspace/src/file_io.rs,reference,626,626,0,1859,unchanged
crates/layerfs-workspace/src/lib.rs,reference,55,55,0,82,unchanged
crates/layerfs-workspace/src/lifecycle.rs,reference,1076,1076,0,1980,unchanged
crates/layerfs-workspace/src/live_backing.rs,reference,478,478,0,1225,unchanged
crates/layerfs-workspace/src/output.rs,reference,221,221,0,271,unchanged
crates/layerfs-workspace/src/projection.rs,reference,940,940,0,1149,unchanged
crates/layerfs-workspace/src/reconcile.rs,reference,381,381,0,443,unchanged
crates/layerfs-workspace/src/registry.rs,reference,295,295,0,368,unchanged
crates/layerfs-workspace/src/remote_commit.rs,reference,440,440,0,730,unchanged
crates/layerfs-workspace/src/session.rs,reference,357,357,0,406,unchanged
crates/layerfs-workspace/src/snapshot_input.rs,reference,320,320,0,395,unchanged
crates/layerfs-workspace/src/worker.rs,reference,158,158,0,218,unchanged
