arm,state,checkpoint,operation_ns,content,harness.predecessors,store.create,harness.input,filesystem.residual,filesystem/validate,filesystem/directories,filesystem/references,filesystem/inodes,filesystem/cleanup,filesystem/root.encode,storage.begin,storage.accept_loop,harness.index,storage.finish,state.residual,read_waves,requested_objects,returned_canonical_bytes,provider_read_elapsed_ns
baseline,history.state.20,58,1403312416,35123458,1523334,0,2941833,439998126,114000375,355707458,30959,193747708,2541,1000,557666,211855041,2413458,43419250,1990209,1634,1974,7218146,1096925124
baseline,history.state.21,61,1381441625,35287750,1632542,0,3028916,400232250,144352583,312923250,30125,199844792,792,1083,545084,233039083,2812500,45194917,2515958,2037,2376,8686752,1049881503
baseline,history.state.22,64,789734334,17264500,776625,0,2458625,206246458,102706959,157268125,12958,174383833,375,917,442167,61281209,759917,64395583,1736083,783,1072,4195158,636209360
baseline,history.state.23,67,1844889667,51045416,2310042,0,3367666,573292249,161665375,437674791,52750,242260042,584,917,558334,252080625,3350458,114723667,2506751,2692,3043,11333657,1405700794
baseline,history.state.24,70,2084931917,41814125,2541541,0,3503042,708928001,158194208,564153417,36333,265931417,1333,1375,689209,227068167,3222792,106078125,2768832,2695,3041,11374962,1687438929
baseline,history.state.25,73,1275461875,24734250,1124291,0,2984959,359913168,150193083,265622333,18208,250108375,375,1041,468375,117476792,1903791,98323292,2589542,1217,1558,6327891,1020086456
baseline,history.state.26,76,3203440500,57313459,3128709,0,3783458,1135035791,415621833,944328875,67917,352826167,458,1084,584334,201415542,1681541,85394542,2256790,4081,4484,17879638,2833709585
baseline,history.state.27,79,3655733500,75006541,3425292,0,4367209,1040379416,1018148292,844673792,90292,290724916,375,1125,444542,359754334,1851458,14864833,2001083,6116,6481,27354990,3176372706
baseline,history.state.28,82,832683125,17322666,591708,0,2659125,211846917,116932709,120897333,9458,222049875,625,875,542750,126574083,1090583,9657375,2507043,538,845,3606852,668056343
baseline,history.state.29,85,2588562791,76719666,3286334,0,4472708,784074792,222497334,624282084,58625,301491458,1041,1125,576208,537711000,4289625,25467708,3633083,3930,4316,17058190,1919727527
baseline,history.state.30,88,1233115042,28040542,1212416,0,3457125,322426166,141333209,233113459,20458,261865458,1083,1250,541791,133232000,1921834,103475958,2472293,1023,1401,5959066,953234434
baseline,history.state.31,91,2013256459,44504042,2209667,0,3601500,634143084,159565792,498990833,42417,309267833,791,917,490542,340677625,2505833,13534250,3721333,1736,2169,8984612,1593864446
baseline,history.state.32,94,2386878667,56489708,2869375,0,4076167,829320082,180095084,594409709,54875,363522458,1458,1375,533166,273623875,2881708,75105584,3894043,2744,3217,13370308,1956399828
baseline,history.state.33,97,3352652916,92183375,5449708,0,5312333,1092127042,182360500,902295083,86250,357087208,458,1375,578792,584780500,6232875,120294042,3863375,4696,5138,21427743,2517351135
baseline,history.state.34,100,1944604375,45214833,2305959,0,4183333,565757958,203185125,399908833,33292,303737167,750,1417,520083,309868750,3069166,102793042,4024667,2271,2718,12007327,1462825036
baseline,history.state.35,103,3127565584,77929583,4845667,0,5831500,993414248,266556667,686368334,64458,439299209,625,917,1715333,566355125,5927000,76351208,2905710,5424,5920,27011873,2367811636
baseline,history.state.36,106,5321205375,84058042,4730166,0,5958458,1296286334,2112334458,900522292,107708,433249000,1000,2208,494959,424702500,2590541,53142500,3025209,7154,7698,36668982,4683014089
baseline,history.state.37,109,5002254042,89332000,5751167,0,5764334,1831186585,789974541,1294864750,15916,495192541,1458,1959,2068958,462992042,3094208,16287000,5726583,6234,6715,30720915,4288534176
baseline,history.state.38,112,9175119416,182905875,9479083,0,8664375,2303208416,3513380875,1523438375,66500,421852417,1125,1750,2042250,1150031042,10638417,44134292,5274624,17814,18247,81952437,7311891354
baseline,history.state.39,115,2262017041,49123583,2355291,0,4702625,713695667,179520917,563406083,51750,311224166,583,1042,2137417,327059167,4107917,100118625,4512208,3627,4173,10430331,1756808818
baseline,history.state.40,118,2634695875,63924125,3221334,0,4982917,827419209,192716625,604853500,49583,384623042,1625,1041,648542,466960834,4585625,76616625,4091248,3998,4582,11005016,1996867605
baseline,history.state.41,121,2280659750,37987000,1736167,0,4357334,785038000,197814666,534174708,37000,374347334,750,1167,436166,248545125,2874292,89498334,3811707,3378,3948,9958024,1880765979
baseline,history.state.42,124,5718892916,144361709,7711333,0,8779959,1996137792,333819167,1489352667,117167,574900083,1458,1500,568458,1080306833,9739958,66180708,6914124,11376,11988,21250646,4268115160
baseline,history.state.43,127,2203584334,46297417,2414083,0,4778500,671126626,206782542,483242083,44708,355869250,750,1083,483792,318101459,3973667,105640917,4827457,3420,4017,10395273,1705984370
baseline,history.state.44,130,2326967209,43698542,2295791,0,4839875,691310206,199344209,544184834,46459,411054958,625,1084,522500,365335292,3215084,57651500,3466250,3715,4260,10205275,1834164963
baseline,history.state.45,133,4473122709,109436042,6993042,0,7325584,1501505502,247909375,1066123375,96833,543414625,2041,3083,512375,960307917,10491125,11017833,7983957,7040,7679,17482449,3311696265
baseline,history.state.46,136,3919672791,73421667,4209042,0,5837083,1234958626,560453125,960216250,64166,511092917,750,916,452583,458241625,3943875,103384791,3395375,6090,6755,19699645,3248670376
baseline,history.state.47,139,6949429750,162501417,9260333,0,9813083,2287427835,816078250,1593003291,59167,716829750,1166,1416,469958,1221846208,13055125,109971458,9111293,15674,16355,31330604,5221867523
baseline,history.state.48,142,2627255541,76915625,3306042,0,6051041,702939833,251148125,465414500,64875,465432292,500,1500,472417,613044375,5928333,31831333,4704750,4195,4889,11718392,1871817838
baseline,history.state.49,145,4120007750,99430542,5264333,0,6507417,1320233043,285994042,928061416,72125,609710333,1041,1333,505250,801770250,6339250,46899542,9217833,6176,6941,18483099,3125396246
baseline,history.state.50,148,1863177666,31065250,1494667,0,4942375,504675751,219496250,254140500,19833,495221917,833,1083,481667,316127166,2483916,28094542,4931916,1510,2109,6641605,1465353986
baseline,history.state.51,151,4913165625,96910625,5481792,0,6714792,1729760584,276261083,1138880500,66750,708178250,459,1083,555292,902728500,8671958,31204083,7749874,6720,7516,21109644,3832712531
baseline,history.state.52,154,5378545167,134534292,6833333,0,8689792,1803810041,385190000,1242339375,117625,657203666,1334,1542,438875,1013107041,13746334,107775417,4756500,9920,10695,21051672,3960696091
baseline,history.state.53,157,3035961084,48684875,2629583,0,5499500,955554832,320177542,722759167,37459,479209250,541,1250,538167,435815750,4348916,52412750,8291502,4145,4808,14282885,2463889606
candidate,history.state.1,1,52257959,6579917,227875,3173167,485958,178875,110792,209209,5125,159625,458,708,1365667,18982750,411791,19965833,400209,0,0,0,0
candidate,history.state.2,4,133898250,10452667,364166,0,805875,6818166,40501083,3275709,14000,5422250,584,833,418125,48322667,523583,16413750,564792,1434,1463,683127,53888846
candidate,history.state.3,7,144002458,14490125,498417,0,801667,8528374,26089250,5703542,10875,8950584,542,750,396833,55512833,667333,21724875,626458,979,1032,835541,47256878
candidate,history.state.4,10,186830625,18989584,645167,0,901875,18549000,22141000,9030334,15208,18817292,625,958,406042,88101708,747583,7640416,843833,790,862,1016347,66511083
candidate,history.state.5,13,229476791,23259458,708208,0,1108834,22732459,32503583,10393208,13750,24754125,792,708,471875,83058000,1003375,27943416,1525000,1034,1122,1345877,87983845
candidate,history.state.6,16,294261000,23636250,793500,0,1190875,39395749,33726333,19594084,18542,42371375,542,917,546709,94989917,887583,35752791,1355833,953,1055,1514660,132426642
candidate,history.state.7,19,441806084,33149000,1296583,0,1517292,76161333,48835458,30376084,26167,66927500,500,792,383833,136284000,1668167,43621625,1557750,1071,1207,1980927,218352416
candidate,history.state.8,22,479383792,34161292,1135458,0,1658542,74931749,64150084,32885000,20875,72711250,667,792,341000,144650125,1563417,49649542,1523999,1464,1611,2581119,240524005
candidate,history.state.9,25,426514125,26348084,942542,0,1323709,87717957,55332500,39288042,26625,87145459,667,1000,425416,106499208,678083,19585708,1199125,587,757,1820553,265838199
candidate,history.state.10,28,545384333,20735958,818916,0,1257834,117588501,144710208,37821292,20833,91741125,500,708,347042,92802208,681625,35167083,1690500,545,694,1766388,388741253
candidate,history.state.11,31,1255288125,40578167,1284417,0,1780750,128859791,774155292,46896500,46083,110758834,1458,1417,595709,132943250,990000,14914000,1482457,2395,2545,8467975,1053693822
candidate,history.state.12,34,610060041,41571208,1400209,0,2287083,108280124,97825375,36325125,32667,86582125,417,1125,507542,181098958,2169458,49931958,2046667,2360,2546,4469158,323198834
candidate,history.state.13,37,469586417,32626833,1147458,0,1779709,85484083,53968083,37176708,25208,76770708,959,1084,432292,161441541,1597750,14613875,2520126,954,1176,2571483,249285866
candidate,history.state.14,40,567264875,27925583,1315917,0,1971000,86808291,120734708,44856459,26917,93501958,1292,1417,602584,126583416,1847917,58741833,2345583,1421,1627,3599890,340929133
candidate,history.state.15,43,517706208,28212625,1151208,0,1741125,107260585,60740250,45773166,26083,111605333,1041,958,428667,143565333,1088375,14398209,1713250,620,855,2132071,321527983
candidate,history.state.16,46,1168805125,62267417,2527041,0,3524875,135514999,398228292,53057250,55750,134886167,1250,1500,528834,274659709,3185083,98272542,2094416,3915,4135,10202869,711556291
candidate,history.state.17,49,596176583,33132375,1032959,0,2103250,116502959,73957500,54583042,19583,132448916,542,1000,428833,162582375,1274375,15583959,2524915,585,878,2495617,373740786
candidate,history.state.18,52,1130664959,58966333,2891083,0,3973500,199841709,157937542,67890125,77083,192461333,583,1000,448625,414455959,4734417,24565334,2420333,3409,3732,9881678,608262628
candidate,history.state.19,55,826109834,37741583,1598583,0,3096459,148917666,123351958,52134000,39792,170185250,584,1000,483417,208677542,2565958,74986417,2329625,1661,2047,6895660,487710160
candidate,history.state.20,58,818262209,34325959,1312042,0,2928500,172226957,95370042,57622416,42084,193996042,584,1083,490958,212981125,2120208,42877625,1966584,692,1085,3707568,514101168
candidate,history.state.21,61,881295167,36446084,1516708,0,3083333,172526208,122262541,56917083,37125,203485417,750,1167,568667,233695708,2684625,45912834,2156917,1175,1569,5526734,549084619
candidate,history.state.22,64,559625000,17248834,797542,0,2468459,110145416,97837958,34222500,12417,170170625,1042,1167,508750,60933625,743792,62460291,2072582,349,671,2625275,408802537
candidate,history.state.23,67,1085133083,50501917,2349708,0,3379416,210478957,132647667,69720875,49542,240477625,1459,1208,533375,248372834,3461625,120167125,2989750,1302,1719,5874185,646267848
candidate,history.state.24,70,1181510209,40691292,2010208,0,3428375,262110584,131301041,84308458,33709,281791958,1042,833,518083,248280958,3311542,120776792,2945334,1233,1637,5545755,751736966
candidate,history.state.25,73,953234542,25284125,875584,0,2878542,206014667,135472416,66157375,15000,280981750,583,1042,466250,126694875,1940000,104549417,1902916,627,1019,3986128,683265571
candidate,history.state.26,76,1632575167,59156209,3557458,0,3978500,342765166,422513625,123092584,58500,364563958,1042,1084,543584,210977166,1725208,97285792,2355291,1515,1992,6840428,1242505157
candidate,history.state.27,79,2304400416,78168750,3220625,0,5151833,324096416,1073339500,109191084,69333,309514334,584,1166,494333,381424625,1736333,15807583,2183917,3554,3987,16896715,1801053548
candidate,history.state.28,82,713278208,17762417,470125,0,2685375,145455416,113903458,53859167,7667,228739333,667,834,407458,136970000,872208,9923917,2220166,252,607,2600912,538453139
candidate,history.state.29,85,1539991250,76589959,3337625,0,4502458,256246165,229050125,95213542,58458,308069334,834,1167,580000,532891000,4546042,25954209,2950332,2216,2675,9852786,878473012
candidate,history.state.30,88,866910666,27131250,980459,0,3189291,158110209,130272958,47505500,16166,260807083,500,917,443084,131056792,1589166,103980500,1826791,485,909,3719069,592106000
candidate,history.state.31,91,1222562250,44358416,1923583,0,3511833,242400291,143706792,84061166,32917,322303875,1084,1084,471875,360707292,2301083,14019708,2761251,574,1084,3951310,784180883
candidate,history.state.32,94,1398400500,56181833,2577708,0,3994542,337654667,176637000,95015333,39458,369713625,625,875,430542,274685833,2336083,77185292,1947084,1178,1730,6498477,970489865
candidate,history.state.33,97,1845490459,90381458,4945958,0,5342625,339573626,184034750,120198250,87416,369559208,833,1167,483709,599994375,7189917,120868125,2829042,2294,2819,10443404,1000737700
candidate,history.state.34,100,1296073375,45709625,2025666,0,4272417,260492834,174183083,83504583,34708,310108042,500,875,409542,305989125,3060209,104105792,2176374,1269,1792,7565511,820185641
candidate,history.state.35,103,1948072958,77724375,4123625,0,5850125,428918208,261415791,98727292,63667,402540625,625,833,458250,584647541,5689584,73448208,4464209,3670,4246,18531873,1176626731
candidate,history.state.36,106,3899222750,89608875,4331291,0,5820750,503945583,2246425791,131727584,148792,438153292,1458,2083,428125,419439292,2398792,54099583,2691459,4344,4977,22490704,3263607787
candidate,history.state.37,109,2789593542,89138292,6888709,0,6690958,631992126,832006750,218191583,9958,510463292,1083,8166,557125,469234583,3407750,16954875,4048292,2856,3425,13695818,2053333036
candidate,history.state.38,112,6672067208,188419708,9446125,0,9890250,959316835,3597357750,219328458,62375,455125208,1291,1375,1850666,1165159083,9972083,51082500,5053501,13296,13809,61345354,4772910990
candidate,history.state.39,115,1374344500,48247042,1883709,0,4624875,276929917,168377375,105385958,33083,323983542,958,959,463959,331825000,2845125,106693667,3049331,1278,1917,4306185,866090095
candidate,history.state.40,118,1703316209,64553416,2752000,0,5028416,337262584,204739000,110519625,51584,385602166,1666,1542,445000,496742375,6485458,86481292,2650085,1661,2340,4937152,1027936550
candidate,history.state.41,121,1498890209,39466459,1620833,0,4585791,374259500,203053709,111021125,31958,409150417,333,875,482917,256870416,2009333,91830042,4506501,1335,1993,4509341,1088462568
candidate,history.state.42,124,3289711458,143893750,7361917,0,8401083,751681666,337595625,253003375,85125,617290667,1000,2042,471208,1088475959,9576250,69035666,2836125,6507,7225,7895906,1819687157
candidate,history.state.43,127,1468203792,47340041,2053625,0,4603417,306980960,195891541,106938958,27500,377180625,1083,1167,466334,313066542,3384750,107212334,3054915,1239,1941,4801463,977818001
candidate,history.state.44,130,1550160750,44703542,2423875,0,5134875,308309543,207374500,127533291,34750,408121458,709,916,516167,380632042,2649375,60156458,2569249,1480,2129,4506613,1041240829
candidate,history.state.45,133,2721011250,109781167,6638833,0,7475916,573208917,257024625,173680125,99833,566277958,1292,4625,544375,1002434958,9753250,11022375,3063001,3095,3858,6852863,1527866877
candidate,history.state.46,136,2436856625,72557875,3928417,0,5689167,456538584,588549792,162276041,71875,543628208,958,1500,470084,482215709,3581250,112879208,4467957,2163,2952,8935781,1737279689
candidate,history.state.47,139,4421362750,175000125,8470417,0,10704583,965448958,825330167,279115958,44375,784393417,1125,3334,1482875,1237962916,11086250,118057417,4260833,9899,10708,15192398,2663312146
candidate,history.state.48,142,2029073791,96947041,3548416,0,6196917,380834124,271067584,115570792,51709,493511958,750,833,437708,619493291,4635666,32872208,3904794,2002,2808,5561580,1249478264
candidate,history.state.49,145,2794631083,98264875,3917625,0,6311625,580404667,310527708,176490750,55000,667675042,833,833,410500,884946209,8370542,52094542,5160332,2213,3101,6994189,1719935999
candidate,history.state.50,148,1632763334,30527250,1161333,0,5062167,374303125,218154583,103364375,18000,546067667,708,750,395542,320611334,1794375,28364416,2937709,577,1265,4353789,1234375162
candidate,history.state.51,151,3214651125,101636750,5461375,0,6747416,822058290,307663167,203914542,56584,773253084,792,1000,462542,950987583,6896750,31019833,4491417,2109,3026,7750635,2089770491
candidate,history.state.52,154,3728709875,136417875,6334625,0,8707500,911321875,422338792,290347750,73334,769510458,833,1875,437334,1055081500,11941875,111011500,5182749,5711,6620,9108603,2256394474
candidate,history.state.53,157,2060457042,48928750,2188250,0,5289416,457586208,343227167,163799708,36125,525567166,667,1042,1001750,446801375,3748625,56130375,6150418,1526,2317,6320449,1478492589
