label	path	sha256	size_bytes
v1-manifest-verification	target/phase4-canonical-v2-publication-repair-20260821-v1/results-v1/TERMINAL-MANIFEST-VERIFICATION-v1.txt	f38dced6d98ffd30336e6b40694b1744bb90889bec657df6983ed134a5f5f1df	118
v1-raw	target/phase4-canonical-v2-publication-repair-20260821-v1/results-v1/RAW-v1.jsonl	777ec722f95578c1717e86cd5100c01c497a876d0ffea557bcf2864f285eb532	234970
v1-input-custody	target/phase4-canonical-v2-publication-repair-20260821-v1/results-v1/INPUT-CUSTODY-v1.tsv	d1b7f50897c59996672f761579f0904bb5453d469e09e8f977d72400f153635a	4803
v1-source-build-custody	target/phase4-canonical-v2-publication-repair-20260821-v1/results-v1/SOURCE-BUILD-CUSTODY-v1.tsv	e78e83ff45add569ae6cf4674f796ac3a857c501cba37d035ab6c14b101630a0	4287
v1-analysis	target/phase4-canonical-v2-publication-repair-20260821-v1/results-v1/ANALYSIS-v1.json	57337c844dc85b33cc3e1d2f9bc9baae03ca058ab634e1f3cfe14dbc921797d9	3325
v1-disposition	target/phase4-canonical-v2-publication-repair-20260821-v1/results-v1/DISPOSITION-v1.txt	c96ad84e436a513e3793e48beb75a50b2a5d59c81ca876c3ff88bb3094eb50f6	225
v2-terminal-manifest	target/phase4-canonical-v2-publication-repair-20260821-v2/results-v1/TERMINAL-MANIFEST-v1.tsv	1e94b51bbc46524ad164aa3db836026d4a79e200f8bf3bd1cb7ba5c176b35131	3552
v2-manifest-verification	target/phase4-canonical-v2-publication-repair-20260821-v2/results-v1/TERMINAL-MANIFEST-VERIFICATION-v1.txt	02a7d0f17c8e80658dbacbc5d52d17a97aee542dccd189a3617132dfc47ef5e0	204
v2-analysis	target/phase4-canonical-v2-publication-repair-20260821-v2/results-v1/ANALYSIS-v1.json	576d53c6ae3d1b4104fbf28763065e53f23c6ad65a916d465f04d22f4d3264bf	167
v2-disposition	target/phase4-canonical-v2-publication-repair-20260821-v2/results-v1/DISPOSITION-v1.txt	035b2f46db17b748cb4cb2284940b7607bbad4efec60ad5d86b53ba95d60dc02	168
v2-stderr	target/phase4-canonical-v2-publication-repair-20260821-v2/results-v1/logs-v1/row-01-fresh-one-byte-middle-B.stderr	f665ab00c6a188b15810f6c01f152a5941021e698ed13e11cad7c62416d56679	38
v2-stdout	target/phase4-canonical-v2-publication-repair-20260821-v2/results-v1/logs-v1/row-01-fresh-one-byte-middle-B.stdout	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
v2-raw	target/phase4-canonical-v2-publication-repair-20260821-v2/results-v1/RAW-v1.jsonl	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
v2-actual-invocations	target/phase4-canonical-v2-publication-repair-20260821-v2/results-v1/ACTUAL-INVOCATIONS-v1.tsv	9b81ce6fd1fcfcb3ee74894d98d67d13c4666f5bec19bc8b10bf232a61d4bc37	992
v2-input-custody	target/phase4-canonical-v2-publication-repair-20260821-v2/results-v1/INPUT-CUSTODY-v1.tsv	65a8884ffdbee2fc6520f21dd7354b24e28d5e64c4ebbf8c180ceaf4483be307	2632
v2-run-status	target/phase4-canonical-v2-publication-repair-20260821-v2/results-v1/RUN-STATUS-v1.txt	2a473801f9b6230e60a6576fdd21864acb42d855e8c7745447d5fee91e142b9e	129
