case_id	size_label	pristine_bytes	op	kind	offset	delete_len	insert_len	payload
10mib-insert-band00	10mib	10485760	insert	band00	414596	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-insert-band01	10mib	10485760	insert	band01	676854	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-insert-band02	10mib	10485760	insert	band02	1844032	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-insert-band03	10mib	10485760	insert	band03	2133866	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-insert-band04	10mib	10485760	insert	band04	3051819	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-insert-band05	10mib	10485760	insert	band05	3400348	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-insert-band06	10mib	10485760	insert	band06	4121782	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-insert-band07	10mib	10485760	insert	band07	4764976	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-insert-band08	10mib	10485760	insert	band08	5316229	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-insert-band09	10mib	10485760	insert	band09	6006031	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-insert-band10	10mib	10485760	insert	band10	6965010	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-insert-band11	10mib	10485760	insert	band11	7504714	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-insert-band12	10mib	10485760	insert	band12	8300660	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-insert-band13	10mib	10485760	insert	band13	9034033	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-insert-band14	10mib	10485760	insert	band14	9335510	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-insert-band15	10mib	10485760	insert	band15	9996419	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-overwrite-band00	10mib	10485760	overwrite	band00	341196	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-overwrite-band01	10mib	10485760	overwrite	band01	937065	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-overwrite-band02	10mib	10485760	overwrite	band02	1505365	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-overwrite-band03	10mib	10485760	overwrite	band03	2401124	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-overwrite-band04	10mib	10485760	overwrite	band04	3057766	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-overwrite-band05	10mib	10485760	overwrite	band05	3771482	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-overwrite-band06	10mib	10485760	overwrite	band06	4386427	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-overwrite-band07	10mib	10485760	overwrite	band07	4831830	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-overwrite-band08	10mib	10485760	overwrite	band08	5740428	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-overwrite-band09	10mib	10485760	overwrite	band09	6060982	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-overwrite-band10	10mib	10485760	overwrite	band10	6799936	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-overwrite-band11	10mib	10485760	overwrite	band11	7508532	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-overwrite-band12	10mib	10485760	overwrite	band12	8371486	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-overwrite-band13	10mib	10485760	overwrite	band13	9113539	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-overwrite-band14	10mib	10485760	overwrite	band14	9383228	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-overwrite-band15	10mib	10485760	overwrite	band15	9925361	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-delete-band00	10mib	10485760	delete	band00	285824	4096	0	-
10mib-delete-band01	10mib	10485760	delete	band01	801456	4096	0	-
10mib-delete-band02	10mib	10485760	delete	band02	1659870	4096	0	-
10mib-delete-band03	10mib	10485760	delete	band03	2023835	4096	0	-
10mib-delete-band04	10mib	10485760	delete	band04	2984089	4096	0	-
10mib-delete-band05	10mib	10485760	delete	band05	3697963	4096	0	-
10mib-delete-band06	10mib	10485760	delete	band06	4166247	4096	0	-
10mib-delete-band07	10mib	10485760	delete	band07	4605982	4096	0	-
10mib-delete-band08	10mib	10485760	delete	band08	5833304	4096	0	-
10mib-delete-band09	10mib	10485760	delete	band09	6404218	4096	0	-
10mib-delete-band10	10mib	10485760	delete	band10	6846229	4096	0	-
10mib-delete-band11	10mib	10485760	delete	band11	7582225	4096	0	-
10mib-delete-band12	10mib	10485760	delete	band12	7953708	4096	0	-
10mib-delete-band13	10mib	10485760	delete	band13	8584572	4096	0	-
10mib-delete-band14	10mib	10485760	delete	band14	9614491	4096	0	-
10mib-delete-band15	10mib	10485760	delete	band15	9964784	4096	0	-
100mib-insert-band00	100mib	104857600	insert	band00	4065514	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-insert-band01	100mib	104857600	insert	band01	9087631	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-insert-band02	100mib	104857600	insert	band02	16747290	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-insert-band03	100mib	104857600	insert	band03	22523923	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-insert-band04	100mib	104857600	insert	band04	28524202	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-insert-band05	100mib	104857600	insert	band05	35321860	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-insert-band06	100mib	104857600	insert	band06	44048339	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-insert-band07	100mib	104857600	insert	band07	48382435	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-insert-band08	100mib	104857600	insert	band08	58923676	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-insert-band09	100mib	104857600	insert	band09	63078737	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-insert-band10	100mib	104857600	insert	band10	65810374	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-insert-band11	100mib	104857600	insert	band11	77185345	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-insert-band12	100mib	104857600	insert	band12	79754174	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-insert-band13	100mib	104857600	insert	band13	89675825	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-insert-band14	100mib	104857600	insert	band14	92257550	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-insert-band15	100mib	104857600	insert	band15	101499132	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-overwrite-band00	100mib	104857600	overwrite	band00	1224262	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-overwrite-band01	100mib	104857600	overwrite	band01	12772453	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-overwrite-band02	100mib	104857600	overwrite	band02	13313055	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-overwrite-band03	100mib	104857600	overwrite	band03	22922572	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-overwrite-band04	100mib	104857600	overwrite	band04	27331890	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-overwrite-band05	100mib	104857600	overwrite	band05	35365802	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-overwrite-band06	100mib	104857600	overwrite	band06	41354356	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-overwrite-band07	100mib	104857600	overwrite	band07	48618784	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-overwrite-band08	100mib	104857600	overwrite	band08	56828645	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-overwrite-band09	100mib	104857600	overwrite	band09	63857882	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-overwrite-band10	100mib	104857600	overwrite	band10	69060399	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-overwrite-band11	100mib	104857600	overwrite	band11	76826682	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-overwrite-band12	100mib	104857600	overwrite	band12	82781774	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-overwrite-band13	100mib	104857600	overwrite	band13	89962450	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-overwrite-band14	100mib	104857600	overwrite	band14	91905728	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-overwrite-band15	100mib	104857600	overwrite	band15	98790211	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-delete-band00	100mib	104857600	delete	band00	3743298	4096	0	-
100mib-delete-band01	100mib	104857600	delete	band01	6805270	4096	0	-
100mib-delete-band02	100mib	104857600	delete	band02	19450325	4096	0	-
100mib-delete-band03	100mib	104857600	delete	band03	21311047	4096	0	-
100mib-delete-band04	100mib	104857600	delete	band04	27598946	4096	0	-
100mib-delete-band05	100mib	104857600	delete	band05	32880101	4096	0	-
100mib-delete-band06	100mib	104857600	delete	band06	44123965	4096	0	-
100mib-delete-band07	100mib	104857600	delete	band07	51000774	4096	0	-
100mib-delete-band08	100mib	104857600	delete	band08	54204615	4096	0	-
100mib-delete-band09	100mib	104857600	delete	band09	62968432	4096	0	-
100mib-delete-band10	100mib	104857600	delete	band10	69611027	4096	0	-
100mib-delete-band11	100mib	104857600	delete	band11	75364949	4096	0	-
100mib-delete-band12	100mib	104857600	delete	band12	84154709	4096	0	-
100mib-delete-band13	100mib	104857600	delete	band13	90408024	4096	0	-
100mib-delete-band14	100mib	104857600	delete	band14	95736173	4096	0	-
100mib-delete-band15	100mib	104857600	delete	band15	101304223	4096	0	-
500mib-capped-insert-band00	500mib-capped	524283904	insert	band00	2131595	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-insert-band01	500mib-capped	524283904	insert	band01	57116805	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-insert-band02	500mib-capped	524283904	insert	band02	96449306	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-insert-band03	500mib-capped	524283904	insert	band03	129016232	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-insert-band04	500mib-capped	524283904	insert	band04	151592684	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-insert-band05	500mib-capped	524283904	insert	band05	171403040	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-insert-band06	500mib-capped	524283904	insert	band06	213902265	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-insert-band07	500mib-capped	524283904	insert	band07	239291099	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-insert-band08	500mib-capped	524283904	insert	band08	290483559	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-insert-band09	500mib-capped	524283904	insert	band09	322639912	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-insert-band10	500mib-capped	524283904	insert	band10	328948710	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-insert-band11	500mib-capped	524283904	insert	band11	387608516	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-insert-band12	500mib-capped	524283904	insert	band12	393937349	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-insert-band13	500mib-capped	524283904	insert	band13	433596286	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-insert-band14	500mib-capped	524283904	insert	band14	465283817	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-insert-band15	500mib-capped	524283904	insert	band15	498804650	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-overwrite-band00	500mib-capped	524283904	overwrite	band00	15990720	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-overwrite-band01	500mib-capped	524283904	overwrite	band01	40727468	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-overwrite-band02	500mib-capped	524283904	overwrite	band02	92840022	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-overwrite-band03	500mib-capped	524283904	overwrite	band03	126966997	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-overwrite-band04	500mib-capped	524283904	overwrite	band04	151904251	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-overwrite-band05	500mib-capped	524283904	overwrite	band05	174330894	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-overwrite-band06	500mib-capped	524283904	overwrite	band06	206822835	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-overwrite-band07	500mib-capped	524283904	overwrite	band07	259084227	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-overwrite-band08	500mib-capped	524283904	overwrite	band08	274144519	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-overwrite-band09	500mib-capped	524283904	overwrite	band09	301070891	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-overwrite-band10	500mib-capped	524283904	overwrite	band10	358665852	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-overwrite-band11	500mib-capped	524283904	overwrite	band11	388272776	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-overwrite-band12	500mib-capped	524283904	overwrite	band12	422024532	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-overwrite-band13	500mib-capped	524283904	overwrite	band13	446796579	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-overwrite-band14	500mib-capped	524283904	overwrite	band14	462293768	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-overwrite-band15	500mib-capped	524283904	overwrite	band15	509418034	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-delete-band00	500mib-capped	524283904	delete	band00	5445257	4096	0	-
500mib-capped-delete-band01	500mib-capped	524283904	delete	band01	52508113	4096	0	-
500mib-capped-delete-band02	500mib-capped	524283904	delete	band02	79582125	4096	0	-
500mib-capped-delete-band03	500mib-capped	524283904	delete	band03	116791895	4096	0	-
500mib-capped-delete-band04	500mib-capped	524283904	delete	band04	152002467	4096	0	-
500mib-capped-delete-band05	500mib-capped	524283904	delete	band05	189027523	4096	0	-
500mib-capped-delete-band06	500mib-capped	524283904	delete	band06	220100352	4096	0	-
500mib-capped-delete-band07	500mib-capped	524283904	delete	band07	258739167	4096	0	-
500mib-capped-delete-band08	500mib-capped	524283904	delete	band08	264961738	4096	0	-
500mib-capped-delete-band09	500mib-capped	524283904	delete	band09	312623261	4096	0	-
500mib-capped-delete-band10	500mib-capped	524283904	delete	band10	351753157	4096	0	-
500mib-capped-delete-band11	500mib-capped	524283904	delete	band11	381974285	4096	0	-
500mib-capped-delete-band12	500mib-capped	524283904	delete	band12	417586359	4096	0	-
500mib-capped-delete-band13	500mib-capped	524283904	delete	band13	446004351	4096	0	-
500mib-capped-delete-band14	500mib-capped	524283904	delete	band14	469469096	4096	0	-
500mib-capped-delete-band15	500mib-capped	524283904	delete	band15	505060954	4096	0	-
1mib-insert-head	1mib	1048576	insert	head	0	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-insert-midpoint	1mib	1048576	insert	midpoint	524288	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-insert-last	1mib	1048576	insert	last	1048576	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-insert-chunk-before	1mib	1048576	insert	chunk-before	532241	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-insert-chunk-at	1mib	1048576	insert	chunk-at	532242	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-insert-chunk-after	1mib	1048576	insert	chunk-after	532243	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-overwrite-head	1mib	1048576	overwrite	head	0	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-overwrite-midpoint	1mib	1048576	overwrite	midpoint	522240	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-overwrite-last	1mib	1048576	overwrite	last	1044480	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-overwrite-chunk-before	1mib	1048576	overwrite	chunk-before	532241	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-overwrite-chunk-at	1mib	1048576	overwrite	chunk-at	532242	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-overwrite-chunk-after	1mib	1048576	overwrite	chunk-after	532243	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
1mib-delete-head	1mib	1048576	delete	head	0	4096	0	-
1mib-delete-midpoint	1mib	1048576	delete	midpoint	522240	4096	0	-
1mib-delete-last	1mib	1048576	delete	last	1044480	4096	0	-
1mib-delete-chunk-before	1mib	1048576	delete	chunk-before	532241	4096	0	-
1mib-delete-chunk-at	1mib	1048576	delete	chunk-at	532242	4096	0	-
1mib-delete-chunk-after	1mib	1048576	delete	chunk-after	532243	4096	0	-
10mib-insert-head	10mib	10485760	insert	head	0	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-insert-midpoint	10mib	10485760	insert	midpoint	5242880	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-insert-last	10mib	10485760	insert	last	10485760	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-insert-chunk-before	10mib	10485760	insert	chunk-before	5250590	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-insert-chunk-at	10mib	10485760	insert	chunk-at	5250591	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-insert-chunk-after	10mib	10485760	insert	chunk-after	5250592	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-overwrite-head	10mib	10485760	overwrite	head	0	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-overwrite-midpoint	10mib	10485760	overwrite	midpoint	5240832	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-overwrite-last	10mib	10485760	overwrite	last	10481664	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-overwrite-chunk-before	10mib	10485760	overwrite	chunk-before	5250590	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-overwrite-chunk-at	10mib	10485760	overwrite	chunk-at	5250591	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-overwrite-chunk-after	10mib	10485760	overwrite	chunk-after	5250592	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
10mib-delete-head	10mib	10485760	delete	head	0	4096	0	-
10mib-delete-midpoint	10mib	10485760	delete	midpoint	5240832	4096	0	-
10mib-delete-last	10mib	10485760	delete	last	10481664	4096	0	-
10mib-delete-chunk-before	10mib	10485760	delete	chunk-before	5250590	4096	0	-
10mib-delete-chunk-at	10mib	10485760	delete	chunk-at	5250591	4096	0	-
10mib-delete-chunk-after	10mib	10485760	delete	chunk-after	5250592	4096	0	-
100mib-insert-head	100mib	104857600	insert	head	0	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-insert-midpoint	100mib	104857600	insert	midpoint	52428800	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-insert-last	100mib	104857600	insert	last	104857600	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-insert-chunk-before	100mib	104857600	insert	chunk-before	52435850	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-insert-chunk-at	100mib	104857600	insert	chunk-at	52435851	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-insert-chunk-after	100mib	104857600	insert	chunk-after	52435852	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-overwrite-head	100mib	104857600	overwrite	head	0	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-overwrite-midpoint	100mib	104857600	overwrite	midpoint	52426752	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-overwrite-last	100mib	104857600	overwrite	last	104853504	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-overwrite-chunk-before	100mib	104857600	overwrite	chunk-before	52435850	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-overwrite-chunk-at	100mib	104857600	overwrite	chunk-at	52435851	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-overwrite-chunk-after	100mib	104857600	overwrite	chunk-after	52435852	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
100mib-delete-head	100mib	104857600	delete	head	0	4096	0	-
100mib-delete-midpoint	100mib	104857600	delete	midpoint	52426752	4096	0	-
100mib-delete-last	100mib	104857600	delete	last	104853504	4096	0	-
100mib-delete-chunk-before	100mib	104857600	delete	chunk-before	52435850	4096	0	-
100mib-delete-chunk-at	100mib	104857600	delete	chunk-at	52435851	4096	0	-
100mib-delete-chunk-after	100mib	104857600	delete	chunk-after	52435852	4096	0	-
500mib-capped-insert-head	500mib-capped	524283904	insert	head	0	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-insert-midpoint	500mib-capped	524283904	insert	midpoint	262141952	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-insert-last	500mib-capped	524283904	insert	last	524283904	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-insert-chunk-before	500mib-capped	524283904	insert	chunk-before	262138986	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-insert-chunk-at	500mib-capped	524283904	insert	chunk-at	262138987	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-insert-chunk-after	500mib-capped	524283904	insert	chunk-after	262138988	0	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-overwrite-head	500mib-capped	524283904	overwrite	head	0	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-overwrite-midpoint	500mib-capped	524283904	overwrite	midpoint	262139904	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-overwrite-last	500mib-capped	524283904	overwrite	last	524279808	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-overwrite-chunk-before	500mib-capped	524283904	overwrite	chunk-before	262138986	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
500mib-capped-overwrite-chunk-at	500mib-capped	524283904	overwrite	chunk-at	262138987	4096	4096	/layerfs-bench/payloads/insert-middle-4k.bin
