kind	name	length	id	encoding-or-result
object	directory-page-1	305	574dc5649659f9b3235f129b9654d36c5bb210dc467ace3f3bac4ae0afd55e17	hex:4c46534f020000012800000001000000ff30303030303030312d787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878011602df837781ee7367a3a54942fefaa9afa38d04da582edb207110a01eaf960d
object	directory-page-897	261937	f9dd529087d7730552fb2e9a2abe7d1c1cb1c85279f9cbf07c59bf589b8fba03	recipe:max-name-entries:first=1,count=897,child=directory-child
object	directory-index-898	618	a29441cf65a7ad91cc1f8542941eb96c6fd56f54c3c6179f846c3de76c7695b6	recipe:independent-byte-packer:directory-index-898
object	directory-metadata-0	28	719fcfe2709f78d26558c2ce25760019981d46eccfe5c82055bdede5e1f936c3	hex:4c46534f01000000130000000f4c4653344d41500000010400000000
object	directory-wrapper-898	89	9d6d8d19cb249240faed9453acb105c75cc1b6ae843b0d76e6b40c4eb1017fef	hex:4c46534f020000005000000002000000016d01719fcfe2709f78d26558c2ce25760019981d46eccfe5c82055bdede5e1f936c3000000017401a29441cf65a7ad91cc1f8542941eb96c6fd56f54c3c6179f846c3de76c7695b6
object	delta-genesis	65	696ca9436ee7cb2ae9dd6f9442a16e524761004eeeda1d0bf0909ecbbc55a78c	hex:4c46534f0100000038000000344c4653344d41500000010500a4770c7493301af8bd57148de0b119a069cb67a68402de2622992ed75fb2c1820000000000000000
object	delta-page-add	66	823d9d8733c2910b5a8362d1e61262fe5fba0889bb91aec63ab1de358c147123	hex:4c46534f0100000039000000354c4653344d415000000106000000010100000001619a605f00dfcd347ae57255e0ad8edd8442b2bdb63e3736dd79979060b9596c9e
object	delta-index-add	129	1c8947badae3a6a6f90fcfdce8fbfdad55dd7974dd8c7d19609f9c938c885960	hex:4c46534f0100000078000000744c4653344d41500000010501e796af5b0cabcbb6e82e30d6c71ad4449bcfea46e087bb24b76245ce0481cb79a4770c7493301af8bd57148de0b119a069cb67a68402de2622992ed75fb2c1820000000100000001823d9d8733c2910b5a8362d1e61262fe5fba0889bb91aec63ab1de358c147123
object	delta-page-remove	66	b449f6e1f2df60ff3677975037881c3bd835c412ec174cd57ba514a8c7bcdb16	hex:4c46534f0100000039000000354c4653344d41500000010600000001020000000161310d73f10624335baf006c1fb067560a9b618b62ca945a1ddaae42f4d6dff36d
object	delta-index-remove	129	ce084a6d8983bc7b1ebace7645e7eab979193cc2a862bc5313e4a89dadb4a581	hex:4c46534f0100000078000000744c4653344d41500000010501e796af5b0cabcbb6e82e30d6c71ad4449bcfea46e087bb24b76245ce0481cb79a4770c7493301af8bd57148de0b119a069cb67a68402de2622992ed75fb2c1820000000100000001b449f6e1f2df60ff3677975037881c3bd835c412ec174cd57ba514a8c7bcdb16
object	delta-page-replace	98	86becd1737a035e4b6c01431496805ca25016938eb87597634403332e1440695	hex:4c46534f0100000059000000554c4653344d41500000010600000001030000000161310d73f10624335baf006c1fb067560a9b618b62ca945a1ddaae42f4d6dff36d9a605f00dfcd347ae57255e0ad8edd8442b2bdb63e3736dd79979060b9596c9e
object	delta-index-replace	129	31da37ea6f6568bf7a37289dcc70e23d15d18613efc492feb988554396fb5ed9	hex:4c46534f0100000078000000744c4653344d41500000010501e796af5b0cabcbb6e82e30d6c71ad4449bcfea46e087bb24b76245ce0481cb79a4770c7493301af8bd57148de0b119a069cb67a68402de2622992ed75fb2c182000000010000000186becd1737a035e4b6c01431496805ca25016938eb87597634403332e1440695
object	delta-page-metadata	105	9f0fa9d3035d59430cb7f8107b8c687dfac36e5aa67421fe93580cd9c83547a9	hex:4c46534f01000000600000005c4c4653344d415000000106000000010400000000310d73f10624335baf006c1fb067560a9b618b62ca945a1ddaae42f4d6dff36d000000079a605f00dfcd347ae57255e0ad8edd8442b2bdb63e3736dd79979060b9596c9e00000009
object	delta-index-metadata	129	843d5307de988318f11869f067b9fa7c57d81149ecd45703eb74d8e68125877a	hex:4c46534f0100000078000000744c4653344d41500000010501e796af5b0cabcbb6e82e30d6c71ad4449bcfea46e087bb24b76245ce0481cb79a4770c7493301af8bd57148de0b119a069cb67a68402de2622992ed75fb2c18200000001000000019f0fa9d3035d59430cb7f8107b8c687dfac36e5aa67421fe93580cd9c83547a9
recipe	delta-page-max-metadata-2010	8387745	-	equation:15+2010*4173=8387745<=8388608
failure	delta-page-max-metadata-2011	8391918	-	ObjectLimitExceeded:15+2011*4173=8391918>8388608
object	selected-profile-receipt	216	36e6d0824c5513387b41f076a21472883a5bcbc4d94c824bbd56615c92a11eb0	hex:4c46534f01000000cf000000cb4c46533456414c0000010111111111111111111111111111111111bb3f3900f9e4b8bb8e6f1b254140997aa9b35b94fc6877fc93f5637bc3ca41710000000000000007000000000000000976f5bc0b8af1928da538eb88bd589e903bc74ea78c3e3738d361264f5a2eb172a8ead359429dff86f4b936b7a5b6385a84b83ee88860aff957bc97c39ee9132ab0ebb845409ef995a5fa454bb23d10a80c6ecf44deb7832ca2ce1213eb0f4ba1c3515b2fb46b856b262463f8302ac7b069aa98d26ff659dee4b30e0d6f161275
failure	mapping-version-2	0	-	UnsupportedMappingVersion
failure	mapping-unknown-tag	0	-	InvalidMappingTag
failure	mapping-wrong-role	0	-	WrongLogicalRole
failure	file-nonfinal-63	0	-	NonCanonicalPagePartition
failure	branch-nonfinal-63	0	-	NonCanonicalPagePartition
failure	branch-descending-end	0	-	NonCanonicalOrdering
failure	file-root-length-mismatch	0	-	LengthMismatch
failure	directory-cross-page-duplicate	0	-	NameCollision
failure	directory-non-greedy-split	0	-	NonCanonicalPagePartition
failure	delta-empty-page	0	-	NonCanonicalPagePartition
failure	delta-invalid-operation	0	-	InvalidMappingDiscriminator
failure	delta-trailing-byte	0	-	TrailingBytes
failure	receipt-wrong-profile	0	-	InvalidValidationReceipt
